timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,primary_geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,local_position_accuracy_low,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure
1777320736901000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320737225000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320737549000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320737657000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320738197000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320738737000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320739277000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320739817000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320740357000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320740897000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320741437000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320741977000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777320742517000,8311870,8310846,8261694,8257592,4,56,8,16384,32,2621464,3944480,33799,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
