timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_global_position_relaxed,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,global_position_invalid_relaxed,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,position_accuracy_low,navigator_failure,parachute_unhealthy
1777226214589000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226214853000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226215393000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226215933000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226216473000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226217013000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226217553000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226218093000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226218621000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777226219161000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
